"time"t"1"t"2"t"3"t"4"t"5"t"6"t"7"t"8"t"9"t"10"t"11"t"12"t"13"t"14"t"15"t"16"t"17"t"18"t"19"t"20"t"21"t"22"t"23"t"24"t"25"t"26"t"27"t"28"t"29"t"30"t"31"t"32"t"33"t"34"t"35"t"36"t"37"t"38"t"39"t"40"t"41"t"42"t"43"t"44"t"45"t"46"t"47"t"48"t"49"t"50"t"51"t"52"t"53"t"54"t"55"t"56"t"57"t"58"t"59"t"60"
0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,00015t0t0t0t0t0t0t0t0,000100000000019368t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
33t0t0t0t4,5917247267621e-08t0t0t0t4,5917247267621e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149954082752732t0t0t0t0t0t0t0t9,99540827720999e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
36t0t0t0t5,00898002980256e-08t0t0t0t5,00898002980256e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149949910199702t0t0t0t0t0t0t0t9,99499102190695e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
39t0t0t0t5,42620630949859e-08t0t0t0t5,42620630949859e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149945737936905t0t0t0t0t0t0t0t9,99457379562725e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
42t0t0t0t5,84340356882778e-08t0t0t0t5,84340356882778e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149941565964312t0t0t0t0t0t0t0t9,99415659836792e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
45t0t0t0t6,2605718107673e-08t0t0t0t6,2605718107673e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149937394281892t0t0t0t0t0t0t0t9,99373943012598e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
48t0t0t0t6,67771103829389e-08t0t0t0t6,67771103829389e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149933222889617t0t0t0t0t0t0t0t9,99332229089845e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
51t0t0t0t7,09482125438391e-08t0t0t0t7,09482125438391e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149929051787456t0t0t0t0t0t0t0t9,99290518068236e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
54t0t0t0t7,5119024620133e-08t0t0t0t7,5119024620133e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,00014992488097538t0t0t0t0t0t0t0t9,99248809947473e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
57t0t0t0t7,92895466415761e-08t0t0t0t7,92895466415761e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149920710453358t0t0t0t0t0t0t0t9,99207104727259e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
60t0t0t0t8,34597786379196e-08t0t0t0t8,34597786379196e-08t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0,000149916540221362t0t0t0t0t0t0t0t9,99165402407296e-05t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0t0
